Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
24.512000,2.259202,4.134544,1.009478,-4.115759,-5.740654,0.384295,1.509380,-3.365636,-3.615642,-0.865664,1.759439,1.384544,2.384490,-0.990684,-0.740687,1.884380,-0.615679,2.009020,-1.240574,2.571948
24.516000,1.353031,2.603184,0.728052,-3.396883,-4.772008,0.728065,1.103088,-2.896890,-2.896904,-0.646840,1.728179,0.728227,1.478086,-0.896847,-0.521900,1.603215,-0.396880,2.352978,-0.521783,2.540465
24.520000,0.802798,0.928180,0.428172,-2.321916,-3.696851,1.053164,0.553120,-2.321876,-2.071915,-0.321966,1.678190,-0.071960,0.803155,-0.821946,-0.196824,1.178087,-0.071937,2.052744,0.053066,2.365620
24.524000,0.721977,-0.528138,0.221854,-1.278050,-2.278253,1.346918,0.221882,-1.778160,-1.278138,-0.153022,1.471903,-0.778133,0.096853,-0.653207,-0.028157,0.846873,0.221912,1.096656,0.471976,2.034483
24.528000,0.884435,-1.490523,0.134381,-0.365676,-0.990619,1.509467,0.134390,-1.240630,-0.490558,0.009415,1.384456,-1.490717,-0.365701,-0.490669,0.134304,0.509331,0.259355,-0.240311,0.634373,1.571791
24.532000,1.434668,-1.940775,0.059458,0.559296,0.184256,1.434444,0.059336,-0.690727,0.184352,0.059296,1.184368,-1.940844,-0.565608,-0.440567,0.184423,0.184445,0.309334,-1.815329,0.559326,0.996658
24.536000,2.096744,-1.653208,0.221854,1.221875,1.096930,1.221880,0.346829,-0.278209,0.721800,-0.028104,0.971883,-2.278084,-0.653092,-0.403200,-0.028157,-0.028119,0.096884,-3.402978,0.346795,0.409157
24.540000,2.527787,-0.971950,0.403074,1.653161,1.903094,0.903118,0.653192,0.153052,1.153220,-0.096852,0.778126,-2.346813,-0.596978,-0.596905,-0.221806,-0.096864,-0.221873,-4.597116,-0.221902,-0.159229
24.544000,2.672285,0.046997,0.546832,1.921854,2.296802,0.421807,1.046904,0.546827,1.421945,-0.328038,0.671949,-2.203300,-0.453185,-0.828146,-0.453161,-0.203146,-0.453208,-5.327784,-0.703249,-0.640474
24.548000,2.402883,1.153026,0.653128,1.903153,2.653285,0.028194,1.403161,0.903118,1.528195,-0.471824,0.528182,-1.846830,-0.221908,-0.971917,-0.846821,-0.346821,-0.846851,-5.347217,-1.221812,-1.034578
24.552000,1.646924,2.021889,0.771973,1.896854,2.647036,-0.353087,1.646908,1.271964,1.646841,-0.478113,0.396944,-1.353257,-0.228143,-1.228124,-1.103158,-0.478127,-1.103094,-4.853627,-1.478018,-1.290379
24.556000,0.646871,2.396818,0.646854,1.896854,2.647036,-0.603163,1.646908,1.521986,1.646841,-0.478113,0.271906,-0.853273,-0.228143,-1.353128,-1.228223,-0.478127,-1.228122,-3.852845,-1.603199,-1.415751
24.560000,-0.527885,2.346977,0.596843,1.846856,2.597041,-0.778217,1.471925,1.846979,1.596815,-0.403076,0.096879,-0.278150,-0.278217,-1.403230,-1.278187,-0.653154,-1.278101,-2.652877,-1.403279,-1.465786
24.564000,-1.478140,1.771842,0.271865,1.896854,2.396791,-0.728201,1.146833,2.146860,1.646841,-0.228060,-0.103077,0.146693,-0.478124,-1.353128,-1.228223,-0.853206,-1.228122,-1.352832,-0.978217,-1.415751
24.568000,-2.059395,0.690734,-0.059387,2.065747,2.315550,-0.559314,0.565701,2.315724,1.690669,-0.059333,-0.434402,0.440487,-0.809355,-1.059386,-0.934336,-1.059442,-0.934436,-0.309297,-0.434433,-1.371899
24.572000,-2.134501,-0.509378,-0.384365,2.365738,2.240558,-0.384432,-0.009428,2.365583,1.740695,0.115682,-0.759396,0.615695,-1.259440,-0.759444,-0.634397,-1.259350,-0.634401,0.365988,0.240684,-1.321863
24.576000,-1.840608,-1.715649,-0.840552,2.659430,2.159316,-0.090678,-0.715651,2.409437,1.784302,0.409327,-1.090589,0.659497,-1.590670,-0.340698,-0.340664,-1.590708,-0.215687,0.659421,0.909341,-1.278011
24.580000,-1.340989,-2.840719,-1.215726,3.034418,2.034330,0.034360,-1.215582,2.409437,1.784302,0.534462,-1.340665,0.534501,-1.840652,0.159317,0.159441,-1.840664,0.159398,0.534080,1.534324,-1.278011
24.584000,-0.790756,-3.665620,-1.540703,3.334409,1.959338,0.084375,-1.665621,2.334467,1.834328,0.709478,-1.665659,0.334365,-2.040755,0.709435,0.459380,-1.915594,0.459433,0.084214,2.209440,-1.227975
24.588000,-0.571969,-3.947028,-1.696826,3.553103,1.678118,0.053201,-1.946966,2.053147,1.928183,0.803167,-1.821957,0.053036,-1.946841,1.053111,0.803076,-1.946946,0.928126,-0.571638,2.678177,-1.134649
24.592000,-0.771980,-3.896906,-1.771934,3.478106,1.478139,-0.146860,-2.021877,1.853165,1.853143,0.853047,-1.896874,-0.146744,-1.771873,1.478225,1.103170,-1.896897,1.228161,-1.021505,2.978058,-0.959242
24.596000,-1.522223,-3.396813,-1.771934,3.353109,1.103179,-0.396936,-1.896930,1.728154,1.853143,0.853047,-1.896874,-0.271740,-1.521891,1.728233,1.353145,-1.646941,1.353189,-1.396555,3.103239,-0.709625
24.600000,-2.821884,-2.696795,-1.571891,2.928122,0.553238,-0.571818,-1.696929,1.428092,1.803117,0.803167,-1.571880,-0.321952,-1.071807,1.928138,1.428091,-1.321911,1.428076,-1.321739,3.053105,-0.384110
24.604000,-4.203182,-1.953095,-1.203177,2.296842,0.046770,-0.953099,-1.328092,1.296894,1.547010,0.671959,-1.203097,-0.203010,-0.578078,1.921938,1.421885,-0.828182,1.421890,-0.953490,2.796899,-0.015867
24.608000,-5.515905,-1.140514,-0.890563,1.484465,-0.390683,-1.140656,-0.890634,0.984457,1.359301,0.484365,-0.890633,-0.015694,-0.015570,1.734432,1.359352,-0.390686,1.359376,-0.140233,2.359534,0.296717
24.612000,-6.247372,-0.247011,-0.371816,0.628192,-0.871881,-1.371891,-0.496922,0.753177,1.003142,0.253179,-0.371883,0.128176,0.378205,1.378188,1.128152,0.128068,1.128204,0.628329,1.878187,0.565449
24.616000,-6.115937,0.384406,0.134381,-0.365676,-1.240592,-1.365725,0.009443,0.509342,0.634365,0.009415,0.009431,0.384221,0.634422,1.009377,0.759319,0.509331,0.759305,1.509600,1.134482,0.697005
24.620000,-4.897097,0.853138,0.478183,-1.146951,-1.396825,-1.396899,0.228172,0.228204,0.228180,-0.271868,0.353154,0.603231,0.728140,0.478194,0.478155,0.728079,0.478155,2.228609,0.353254,0.665521
24.624000,-2.690449,1.184387,0.934370,-1.815632,-1.440571,-1.315709,0.434320,-0.190683,-0.315688,-0.440595,0.559441,0.684425,0.684301,0.059449,0.059358,0.934459,0.059440,2.558965,-0.440584,0.496861
24.628000,0.246850,1.496875,1.121864,-2.378213,-1.253091,-1.128152,0.496937,-0.503120,-0.753085,-0.628189,0.496922,0.746745,0.496863,-0.253061,-0.253150,0.871898,-0.253130,2.496780,-1.253185,0.184276
24.632000,3.384159,1.634358,1.259348,-2.490611,-0.740645,-0.990610,0.509374,-0.865597,-1.115664,-0.740529,0.384414,0.509217,0.134458,-0.615673,-0.490712,0.759432,-0.490651,2.009020,-1.865557,-0.178344
24.636000,6.165532,1.790602,1.290720,-2.584506,-0.209452,-0.834398,0.290645,-1.084321,-1.459427,-0.584381,0.165597,0.290563,-0.334331,-0.709342,-0.584433,0.540684,-0.584422,1.165642,-2.209420,-0.521849
24.640000,8.028488,1.778282,1.153052,-2.346915,0.403254,-0.721864,0.153118,-1.346899,-1.596888,-0.471824,-0.096878,-0.096888,-0.721871,-0.721909,-0.471936,0.403193,-0.596958,0.278541,-2.222031,-0.784398
24.644000,8.653011,1.778282,0.903182,-1.971926,0.903201,-0.471959,-0.096920,-1.471910,-1.721954,-0.096852,-0.346822,-0.471876,-0.971853,-0.471901,-0.346871,0.153093,-0.471929,-0.596901,-1.971976,-0.909206
24.648000,7.840723,1.590677,0.465634,-1.534341,1.340654,-0.284402,-0.284340,-1.409313,-1.659310,0.215660,-0.534379,-0.784543,-1.159486,-0.159392,-0.159429,0.090675,-0.159359,-1.034136,-1.534304,-0.846802
24.652000,5.722243,1.346791,0.221854,-1.153053,1.596876,-0.153197,-0.528087,-1.403127,-1.528047,0.596921,-0.653087,-1.028125,-1.153056,0.221819,0.221818,0.096859,0.221912,-1.152675,-0.903170,-0.590438
24.656000,2.559626,0.934340,-0.190596,-0.940658,1.684367,0.184406,-0.690633,-1.315601,-1.315547,0.934374,-0.565639,-1.065517,-0.940679,0.559464,0.559308,0.184445,0.559390,-0.690178,-0.190530,-0.253117
24.660000,-0.890353,0.484368,-0.515574,-0.765664,1.359402,0.359459,-0.640597,-1.140731,-1.015611,1.109390,-0.515650,-0.890665,-0.640622,0.859406,0.859402,0.359328,0.859426,0.109477,0.484279,0.171908
24.664000,-4.140322,-0.140608,-0.765628,-0.765664,0.859455,0.734402,-0.640597,-0.890709,-0.765702,1.109390,-0.265574,-0.640674,-0.265552,0.984410,0.984312,0.484450,1.109319,1.484338,0.984388,0.546897
24.668000,-6.359215,-0.734504,-0.984310,-0.984358,0.265497,1.015652,-0.609431,-0.859410,-0.609426,1.015701,0.015630,-0.234348,0.265586,1.140581,1.015656,0.640637,1.140576,2.890292,1.140634,0.827998
24.672000,-7.316001,-1.440682,-0.940574,-1.315647,-0.440677,1.309406,-0.565686,-0.815556,-0.565598,0.684321,0.309365,0.184441,0.684301,0.934308,0.934348,0.809337,1.059340,4.309848,1.184309,0.996658
24.676000,-6.959247,-1.959536,-0.959397,-1.584340,-1.084359,1.415603,-0.459323,-0.834299,-0.459347,0.290698,0.540580,0.540555,1.040667,0.790704,0.665598,0.790640,0.790562,5.415567,1.040674,0.978106
24.680000,-5.128129,-2.253263,-0.878199,-1.878228,-1.753037,1.496963,-0.253175,-0.878153,-0.503176,-0.253217,0.621828,0.871741,1.246809,0.371958,0.371865,0.746919,0.496876,6.121945,0.621763,0.809445
24.684000,-2.640650,-2.515630,-0.640694,-2.015626,-2.140767,1.484460,-0.265612,-1.015720,-0.515571,-0.640551,0.609430,0.984272,1.484321,0.109383,0.109322,0.609429,0.109419,6.234654,0.109351,0.546897
24.688000,0.315425,-2.434428,-0.434376,-2.059325,-2.309499,1.440611,-0.184411,-1.059392,-0.559400,-0.934412,0.565640,0.940471,1.440677,-0.309363,-0.309321,0.440586,-0.184430,5.690539,-0.309252,0.252865
24.692000,2.927809,-2.196982,-0.196871,-1.946927,-2.321998,1.303069,-0.071901,-1.071947,-0.571796,-1.196827,0.553110,0.803011,1.428207,-0.571938,-0.571864,0.303095,-0.446859,4.552757,-0.696790,-0.009121
24.696000,4.778519,-1.721809,0.028085,-1.721934,-2.097022,1.028156,0.028171,-0.971866,-0.596809,-1.221985,0.528182,0.653087,1.403072,-0.846913,-0.721911,0.278071,-0.721823,3.028264,-0.971758,-0.159229
24.700000,5.527947,-1.096833,0.278139,-1.346945,-1.846777,0.903118,0.278065,-0.846855,-0.596809,-1.096849,0.528182,0.403095,1.403072,-0.971917,-0.846821,0.278071,-0.846851,1.278352,-1.221812,-0.159229
24.704000,5.122211,-0.128008,0.621941,-1.003058,-1.503064,0.621868,0.496937,-0.628131,-0.628241,-0.878242,0.621828,0.246761,1.496986,-1.003084,-1.003075,0.371841,-0.878108,-0.627993,-1.253185,-0.065903
24.708000,3.927862,0.803017,0.928095,-0.571969,-1.321833,0.553183,0.928104,-0.446892,-0.571796,-0.571802,0.803186,0.178031,1.553100,-1.071953,-1.071969,0.553196,-0.946809,-2.321550,-1.446954,0.115688
24.712000,2.259202,1.759522,1.259348,-0.240679,-1.240592,0.509334,1.384433,-0.115713,-0.615624,-0.240639,1.009341,0.259225,1.634349,-1.115688,-1.115572,0.759432,-1.115629,-3.865476,-1.490629,0.322016
24.716000,0.559520,2.684386,1.559412,-0.065685,-1.190597,0.434311,1.809453,0.059339,-0.565598,-0.065623,1.309407,0.434433,1.684423,-1.065586,-1.190673,0.934459,-1.190679,-4.941074,-1.690549,0.496861
24.720000,-0.628298,3.496967,1.871842,0.121908,-1.253091,0.496830,2.246911,0.246946,-0.628241,-0.003164,1.496832,0.621749,1.746968,-1.128088,-1.378115,1.121854,-1.378221,-5.628019,-2.003041,0.559265
24.724000,-1.140979,4.109343,1.984412,0.234306,-1.390576,0.484326,2.484368,0.359402,-0.640637,0.109393,1.609340,0.859277,1.734498,-1.265659,-1.390684,1.109342,-1.515622,-6.015701,-2.265706,0.546897
24.728000,-0.816064,4.309548,1.934401,0.434300,-1.440571,0.434311,2.559422,0.559383,-0.565598,0.059296,1.684389,1.059412,1.434442,-1.315593,-1.440648,0.934459,-1.690629,-6.065254,-2.440713,0.372052
24.732000,0.165213,4.165625,1.790643,0.540596,-1.334332,0.415641,2.540694,0.540640,-0.334282,-0.084274,1.540622,1.040538,1.040667,-1.209357,-1.459423,0.665662,-1.709350,-5.959346,-2.459475,0.103319
24.736000,1.484467,3.734413,1.484489,0.859484,-0.890629,0.234421,2.109384,0.609424,-0.015532,-0.140661,1.234357,0.859277,0.609287,-1.140655,-1.390684,0.234350,-1.640650,-5.765991,-2.265706,-0.203081
24.740000,2.584117,2.959353,1.084402,1.334470,-0.415680,-0.040663,1.584434,0.709324,0.334430,-0.040682,0.834446,0.584357,-0.040705,-1.040619,-1.040626,-0.290588,-1.415664,-5.415231,-1.790817,-0.477998
24.744000,3.253540,2.003128,0.503096,1.753158,0.378257,-0.246890,1.003158,0.753177,0.753233,0.003126,0.503121,0.003180,-0.621918,-0.746876,-0.746893,-0.746924,-1.121816,-4.872088,-1.121852,-0.684326
24.748000,3.146596,0.896819,0.021811,2.396839,1.146925,-0.478125,0.271918,0.771920,1.271866,0.021777,0.021830,-0.478286,-1.228070,-0.353098,-0.228168,-1.228141,-0.603144,-4.227895,-0.353234,-0.790582
24.752000,2.284509,-0.090487,-0.465564,2.909422,1.909343,-0.715698,-0.340666,0.909305,1.659458,0.159274,-0.465661,-0.965805,-1.715564,-0.090690,0.159441,-1.465586,-0.090659,-3.340794,0.534413,-0.778213
24.756000,0.890966,-0.859387,-0.734441,3.265711,2.515800,-0.734368,-0.859326,0.890562,1.890552,0.390676,-0.859373,-1.484307,-1.984445,0.265554,0.515706,-1.609404,0.265704,-2.359444,1.265507,-0.671957
24.760000,-0.828309,-1.328119,-0.828188,3.422005,2.922007,-0.828061,-1.203145,0.796849,1.921985,0.421906,-1.078190,-1.703316,-2.078164,0.421893,0.796869,-1.703174,0.671883,-1.077859,1.796989,-0.515665
24.764000,-2.428394,-1.428082,-0.928210,3.322008,3.071990,-0.803053,-1.428164,0.696950,1.821932,0.321928,-1.178168,-1.803028,-1.928136,0.446860,0.821851,-1.553171,0.821819,0.446633,2.071956,-0.365557
24.768000,-3.440693,-1.315519,-0.815639,2.934421,2.809519,-0.815557,-1.315654,0.559383,1.559406,0.184431,-1.315605,-1.690496,-1.815713,0.434460,0.809438,-1.315583,0.809447,1.934204,2.059346,-0.253117
24.772000,-3.759077,-1.009471,-0.634419,2.490734,2.365544,-0.759375,-1.134381,0.240578,1.115590,-0.009453,-1.259416,-1.384239,-1.509421,0.365591,0.490568,-1.134371,0.615555,3.365420,1.740703,-0.196897
24.776000,-3.159045,-0.659462,-0.534398,1.840557,1.715614,-0.784383,-0.909362,-0.034374,0.715602,-0.284447,-1.284345,-1.034535,-1.284379,0.090616,0.340677,-0.909439,0.465619,4.465309,1.465736,-0.221633
24.780000,-2.065926,-0.565659,-0.440650,1.184474,1.184421,-0.940595,-0.815580,-0.190683,0.309417,-0.440595,-1.315605,-0.690529,-1.190660,0.059449,0.184423,-0.815669,0.309334,5.309659,1.184309,-0.253117
24.784000,-0.727896,-0.728063,-0.603047,0.646892,0.771965,-1.103145,-0.853178,-0.228168,0.146943,-0.478113,-1.353195,-0.478286,-1.228070,0.146918,0.146872,-0.728084,0.271891,5.397106,1.271966,-0.290784
24.788000,0.421553,-1.203236,-0.953123,0.421899,0.671975,-1.453080,-0.953108,-0.078046,0.171956,-0.453173,-1.453173,-0.453002,-1.328219,0.296889,0.296919,-0.828182,0.546855,4.921977,1.671808,-0.265485
24.792000,0.809329,-2.190542,-1.440682,0.309304,0.684474,-1.690652,-1.315654,0.184350,0.434482,-0.190541,-1.565681,-0.440538,-1.565731,0.809471,0.809438,-0.815669,1.059340,3.809457,2.434274,-0.128308
24.796000,0.309711,-3.315611,-2.065725,0.309304,1.059434,-1.940729,-1.815586,0.559383,0.809457,0.309349,-1.565681,-0.565534,-1.815713,1.434323,1.559363,-0.815669,1.684481,2.184886,3.559366,0.121872
24.800000,-1.103426,-4.603085,-2.728229,0.521896,1.521884,-1.978240,-2.228169,1.021942,1.396932,0.771937,-1.478101,-0.853273,-1.978211,2.146979,2.271893,-0.728084,2.521910,0.271739,4.771807,0.459193
24.804000,-3.122308,-5.622031,-3.121857,0.628192,1.878096,-1.871872,-2.621881,1.628073,1.878157,1.253176,-1.371924,-0.996787,-1.996915,2.753230,3.003198,-0.621946,3.253195,-1.496634,5.753263,0.815629
24.808000,-5.297118,-6.171966,-3.421922,0.703190,2.078075,-1.421906,-2.796864,1.953065,2.203105,1.578051,-1.046931,-1.046999,-1.796813,3.203143,3.453184,-0.421894,3.828194,-3.047361,6.328112,1.140582
24.812000,-7.003331,-6.003121,-3.253250,0.496897,1.996834,-0.878076,-2.753118,2.121930,2.121868,1.621859,-0.628158,-0.878201,-1.378098,3.246878,3.622006,-0.003094,3.997015,-4.003448,6.246914,1.309243
24.816000,-7.565810,-5.065657,-2.690583,0.059312,1.559380,-0.065671,-2.315660,2.059334,1.809315,1.434481,-0.190656,-0.565534,-0.815590,2.934368,3.309499,0.434402,3.559416,-4.315342,5.184566,1.246838
24.820000,-6.859650,-3.234409,-1.859407,-0.859361,0.640729,0.765576,-1.484347,1.640628,1.015538,0.890566,0.390613,0.015644,0.015604,2.265615,2.515661,0.890594,2.765617,-3.734305,3.265636,0.953369
24.824000,-4.659533,-1.034391,-0.659332,-1.909330,-0.409431,1.715695,-0.534377,0.840703,-0.034347,0.090525,0.840645,0.715763,0.965653,1.215650,1.215667,1.340602,1.590710,-2.408997,0.715572,0.402973
24.828000,-1.240576,1.509475,0.634305,-2.990596,-1.740538,2.384392,0.634321,0.009298,-1.240729,-0.865664,1.134379,1.509540,1.884331,0.009346,-0.240581,1.634424,0.009299,-0.490993,-2.240792,-0.303153
24.832000,2.709022,3.834376,1.959314,-4.040761,-2.915685,2.834358,1.709381,-0.915638,-2.415679,-1.665705,1.334335,2.209303,2.584397,-1.290626,-1.665641,1.709353,-1.540693,1.709757,-5.040603,-1.103166
24.836000,6.372073,5.747106,2.996992,-4.878137,-3.753095,3.121945,2.496949,-1.753230,-3.378128,-2.253211,1.371926,2.872030,2.996877,-2.378126,-3.003186,1.746890,-2.878234,3.871641,-7.503318,-1.815476
24.840000,9.196713,6.696891,3.696959,-5.178128,-4.053063,2.946892,3.071934,-2.428144,-3.928194,-2.553145,1.196899,3.071810,3.196980,-3.053247,-3.803230,1.571863,-3.928113,5.697341,-9.053164,-2.365872
24.844000,10.334733,6.834374,3.959377,-5.040731,-3.915578,2.459415,3.209462,-2.665611,-4.040643,-2.290730,0.959352,3.084274,2.959467,-3.290687,-4.165701,1.334418,-4.415690,6.834152,-9.540662,-2.603121
24.848000,9.678371,5.928271,3.678136,-4.321855,-3.321891,1.678183,2.928116,-2.446887,-3.572035,-1.696934,0.553110,2.803300,2.553223,-3.071847,-3.822005,0.928131,-4.196891,7.053741,-8.822179,-2.509233
24.852000,7.190892,4.190825,3.065642,-3.059492,-2.184513,0.815591,2.190728,-1.934469,-2.809469,-0.684359,0.190657,2.190785,1.815747,-2.434428,-3.059356,0.565564,-3.434349,6.565981,-7.059494,-2.121876
24.856000,3.565394,2.065570,2.065610,-1.684336,-0.934375,-0.059333,1.315669,-1.184403,-1.684323,0.440557,-0.184325,1.315458,0.940713,-1.434397,-1.809481,0.190629,-2.184392,5.191120,-4.434383,-1.496708
24.860000,-0.578500,-0.203050,0.921821,-0.203082,0.297015,-0.953099,0.421883,-0.328068,-0.578215,1.671956,-0.453131,0.421969,0.171867,-0.203127,-0.453161,-0.203146,-0.828130,3.421775,-1.578286,-0.765845
24.864000,-4.247266,-1.996777,-0.121947,1.128177,1.378150,-1.621967,-0.496922,0.628166,0.503102,2.628145,-0.621827,-0.496804,-0.621918,0.753169,0.878177,-0.496824,0.503063,1.378430,1.003150,-0.059157
24.868000,-6.565757,-3.065565,-0.940574,2.184444,1.809354,-2.065596,-1.190707,1.184438,1.184431,3.184422,-0.565639,-1.315509,-1.190660,1.559327,1.809338,-0.690691,1.559453,-0.565809,3.184438,0.496861
24.872000,-6.996800,-3.371893,-1.496967,2.628131,1.878096,-2.121948,-1.621875,1.628073,1.378117,3.378089,-0.496921,-1.871758,-1.496952,1.878204,2.253117,-0.746924,2.128104,-2.122365,4.378117,0.815629
24.876000,-5.528150,-2.903160,-1.528155,2.596833,1.346903,-2.028084,-1.528093,1.471945,1.221840,2.971887,-0.403142,-2.153088,-1.528126,1.846869,2.221929,-0.778133,2.221875,-3.027928,4.596800,0.909517
24.880000,-2.522277,-1.646767,-1.271826,2.228143,0.478246,-1.646975,-1.271909,1.103099,0.603154,2.228233,-0.146867,-2.022038,-1.396803,1.228217,1.728185,-0.771949,1.728111,-3.271808,3.853095,0.790892
24.884000,1.253434,-0.121848,-0.621870,1.503165,-0.621908,-1.121815,-0.746816,0.378144,-0.246847,1.253176,0.253177,-1.871758,-0.871899,0.378158,0.753112,-0.621946,0.878147,-2.871495,2.503170,0.565449
24.888000,4.934446,1.309270,0.184392,0.684293,-1.690544,-0.565652,0.059336,-0.565716,-1.065638,0.059296,0.559441,-1.315509,-0.315626,-0.565571,-0.315682,-0.315612,-0.065588,-2.066011,0.684507,0.372052
24.892000,7.497031,2.496781,1.121864,-0.128084,-2.503229,0.121887,0.746831,-1.503208,-1.753165,-1.003161,0.871905,-0.753205,0.371970,-1.503099,-1.253205,-0.003094,-1.128165,-1.003044,-1.003130,0.309648
24.896000,8.309319,2.934432,1.934401,-0.690666,-2.940682,0.684387,1.434326,-2.315689,-2.190561,-1.815563,1.184368,-0.190546,1.184460,-2.190620,-2.065663,0.434402,-1.940685,0.058952,-2.315532,0.496861
